2,"csorbank","DBDE7","",""
4,"dkreditbank","NKDEF","",""
7,"equateplus","UBS","",""
5,"industrybank","BDDED","",""
6,"targobanq","CIDED","",""
8,"baader scalable","BAADER","",""
